1000052758	No	North Desert Palms Apartments	11001 Dyer Building 38 Unit 383	El Paso	TX	79924	US	LEED For Homes Single Family	66	Silver	1/6/2015 0:00	Yes		1289		Single-Family Home (Attached)	North Desert Palms, Ltd.	12/4/2014 0:00
1000052759	No	North Desert Palms Apartments	11001 Dyer Building 38 Unit 384	El Paso	TX	79924	US	LEED For Homes Single Family	66	Silver	1/6/2015 0:00	Yes		1289		Single-Family Home (Attached)	North Desert Palms, Ltd.	12/4/2014 0:00
1000052760	No	Nike Northwoods	One Bowerman Drive	Beaverton	OR	97005	US	LEED-NC v2009				No	Corporate: Publicly Traded	436058		Office: Administrative/Professional	Nike, Inc And Affiliates	12/3/2014 0:00
1000052761	No	William J Clinton Presidential Library	1200 President Clinton Avenue	Little Rock	AR	72201	US	LEED-EB:OM v2009				No	Non-Profit (that do not fit into ot	155000		Public Assembly: Library	Clinton Foundation	12/3/2014 0:00
1000052762	No	Eastern Family Resource Center	9200 Franklin Square Drive	Rosedale	MD	21237	US	LEED-NC v2009				No	Government Use: Local, County	88131		Office: Mixed-Use	Baltimore County Property Management	12/3/2014 0:00
1000052763	No	4227 Red Shed Lane	4227 Red Shed Lane	Charlotte	NC	28269	US	LEED For Homes Single Family				No		1200		Single-Family (Detached)	Habitat Charlotte	12/3/2014 0:00
1000052765	No	LRMC Womens and Childrens Pavilion	1324 Lakland Hills Blvd	Lakeland	FL	32805	US	LEED-HC v2009				No	Non-Profit (that do not fit into ot	200000		Healthcare: Inpatient	Lakeland Regional Medical Center	12/3/2014 0:00
1000052766	No	601 Broadway	601 Broadway	Denver	CO	80209	US	LEED-NC v2009				No		164404		Office: Medical (Non-Diagnostic)	Trammel Crow	12/3/2014 0:00
1000052767	No	Paradise Road Housing Project	"\\\"\\\""	"\\\"\\\""	"\\\"\\\""	"\\\"\\\""	US	LEED-HOMES v2008				No		0			"\\\"\\\""	12/3/2014 0:00
1000052768	No	Paradise Road - House 5	69 Paradise Rd	Northampton	MA	1060	US	LEED For Homes Multi Family Low-Rise				No		7401		Multi-Family Low-Rise (1-3 stories)	The Smith College	12/3/2014 0:00
1000052769	No	FDA - Irvine	19701 Fairchild Road	Irvine	CA	92612	US	LEED v4 O+M: EB				No		137000		Office: Government	US Food and Drug Administration	12/3/2014 0:00
1000052771	No	SG GSC Pritech 3rd Floor Project	Societe Generale Global Solution Centre Pvt Ltd	Bangalore	Karnataka	560030	IN	LEED-CI v2009				No		57183		Office: Other Office	Societe GeneraleGlobalSolutionCentre P L	12/4/2014 0:00
1000052772	No	NE Cargo Phase I North	South Access Road	Chicago	IL	60666	US	LEED-NC v2009				No	Corporate: Privately Held	200000		Warehouse and Distribution Center: Nonrefrigerated, Distribu	Aero Chicago, LLC	12/4/2014 0:00
1000052774	No	FRC Support Building	1 Munroe Ave	Cape May	NJ	8204	US	LEED-NC v2009				No	Government Use: Federal	10800		Service: Repair Shop	United States Coast Guard	12/4/2014 0:00
1000052776	No	NCC - Nuevo Laredo Mexico	United States Embassy	Nuevo Laredo	TMS	10000	MX	LEED-NC v2009				No		10000		Office: Government	U.S. Department Of State - OBO	12/4/2014 0:00
1000052777	No	Z-Block Office	1850 Wazee	Denver	CO	80202	US	LEED-CS v2009				No	Corporate: Privately Held	220000		Office: Mixed-Use	McWhinney	12/4/2014 0:00
1000052778	No	Charlotte Joint Communications Center	Statesville Avenue	Charlotte	NC	28206	US	LEED-NC v2009				No	Government Use: Local, City	81790		Public Order and Safety: Other Public Order	City Of Charlotte	12/4/2014 0:00
1000052780	No	NE Cargo Phase I South	South Access Road	Chicago	IL	60666	US	LEED-NC v2009				No	Corporate: Privately Held	500000		Warehouse and Distribution Center: Nonrefrigerated, Distribu	Aero Chicago, LLC	12/4/2014 0:00
1000052781	No	IMES SHERATON	IMES Sanayi Sitesi 504. Sokak No:43	Istanbul	Istanbul	34776	TR	LEED-NC v2009	48	Certified	6/2/2015 0:00	Yes	Corporate: Privately Held	171342.63		Lodging: Hotel/Motel/Resort, Full Service	Ferko Insaat	12/4/2014 0:00
1000052782	No	Shivachi Road Office Block	5 Sivachi Road	Nairobi	"\\\"\\\""	623	KE	LEED-CS v2009	40			No	Investor: Individual/Family	27130		Office: Mixed-Use	Sardul Singh	12/4/2014 0:00
1000052785	No	CD Grupo Boticario BA - Associacao	Rodovia BR 101 Km 174	Sao Goncalo Dos Campos	BA	44245-000	BR	LEED-NC v2009				No	Corporate: Privately Held	10000		Public Assembly: Entertainment	Grupo Boticario	12/4/2014 0:00
1000052788	No	Mercedes-Benz South Arlington	4201 Beltway Place	Arlington	TX	76081	US	LEED-NC v2009				No	Corporate: Privately Held	91532		Retail: Vehicle Dealership	Park Place Motorcars	12/4/2014 0:00
1000052789	No	3345 Scott Blvd	3345 Scott Blvd	Santa Clara	CA	95054	US	LEED-CS v2009				No	Investor: Equity Fund	240000		Office: Other Office	Menlo Equities	12/4/2014 0:00
1000052791	No	Washington Building Congress	1100 Vermont Avenue, NW	Washington	DC	20005	US	LEED v4 ID+C: CI				No		2215		Office: Administrative/Professional	Washington Building Congress, Inc.	12/4/2014 0:00
1000052792	No	Sultana Education Center	200-204 South Cross Street	Chestertown	MD	21620	US	LEED-NC v2009				No	Non-Profit (that do not fit into ot	7882		Core Learning Space: Other classroom education	Sultana Education Foundation	12/4/2014 0:00
1000052794	No	Starbucks 1 Queen St  Yonge	1 Queen Street East - G5	Toronto	ON	M5C 2W5	CA	LEED-CI Retail v2009	40	Certified	12/9/2014 0:00	Yes	Corporate: Publicly Traded	898		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052795	No	Starbucks Univ and De La Gauchetiere	1060 University	Montreal	QC	H3B 4V3	CA	LEED-CI Retail v2009	40	Certified	12/9/2014 0:00	Yes	Corporate: Publicly Traded	1600		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052796	No	Starbucks Evanston Relo	1734 Sherman Ave.	Evanston	IL	60201	US	LEED-CI Retail v2009	41	Certified	12/9/2014 0:00	Yes	Corporate: Publicly Traded	3000		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052797	No	Starbucks Southport and Roscoe II	3400 N. Southport Ave.	Chicago	IL	60657	US	LEED-CI Retail v2009	41	Certified	12/9/2014 0:00	Yes	Corporate: Publicly Traded	1845		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052798	No	Starbucks Kearny Mesa and Armour	4380 Kearny Mesa Rd. 301	San Diego	CA	92111	US	LEED-CI Retail v2009	40	Certified	12/9/2014 0:00	Yes	Corporate: Publicly Traded	1840		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052799	No	Starbucks Route 132 and Jogues	60, Route 132 East	Delson	QC	J5B 0A1	CA	LEED-CI Retail v2009	53	Silver	12/9/2014 0:00	Yes	Corporate: Publicly Traded	1595		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052800	No	UCLA Housing Maintenance Facility	265 DeNeve Drive	Los Angeles	CA	90095	US	LEED-NC v2009				No		20675		Service: Repair Shop	UCLA	12/4/2014 0:00
1000052801	No	West Ped Building	Virgina Ave	San Ysidro	CA	92173	US	LEED-NC v2009				No	Government Use: State	22300		Office: Government	GSA	12/4/2014 0:00
1000052802	No	Dunne Technology Academy Annex	10845 South Union Avenue	Chicago	IL	60628	US	LEED FOR SCHOOLS v2009				No	Government Use: Local, City	10476		Core Learning Space: K-12 Elementary/Middle School	Public Building Commission Of Chicago	12/4/2014 0:00
1000052803	No	La Kretz Garden Pavilion	777 Tiverton Dr.	Los Angeles	CA	90039	US	LEED-NC v2009				No	Educational: College, Public	2443		Core Learning Space: College/University	UCLA	12/4/2014 0:00
1000052804	No	Hanzhong Road Mixed Development	HanZhong Road	Shanghai	Shanghai	200001	CN	LEED-CS v2009				No	Corporate: Publicly Traded	524378		Office: Mixed-Use	Capitaland (CHINA) Investment Co., LTD	12/4/2014 0:00
1000052805	No	Tandstickan 2	Grafiska Vogen	Gothenburg	Võstra G÷talands Lõn	412 63	SE	LEED-CS v2009				No	Corporate: Privately Held	67855		Office: Administrative/Professional	Skanska Fastigheter Goteborg AB	12/5/2014 0:00
1000052810	No	Starbucks 525 University Avenue	525 University Avenue	Toronto	ON	M5G 2L3	CA	LEED-CI Retail v2009	40	Certified	12/9/2014 0:00	Yes	Corporate: Publicly Traded	1500		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052811	No	Starbucks University and McColl	2720 West University	Edinburg	TX	78539	US	LEED-CI Retail v2009	40	Certified	12/9/2014 0:00	Yes	Corporate: Publicly Traded	2083		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052812	No	Starbucks 47 Charles Street West	47 Charles Street West	Toronto	ON	M4Y 2R4	CA	LEED-CI Retail v2009	43	Certified	12/9/2014 0:00	Yes	Corporate: Publicly Traded	1346		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052813	No	Starbucks 3rd Lavaca	301 West 3rd Street	Austin	TX	78701	US	LEED-CI Retail v2009	55	Silver	12/9/2014 0:00	Yes	Corporate: Publicly Traded	2409		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052814	No	Starbucks Westfield Mission Valley	1640 Camino Del Rio North	San Diego	CA	92108	US	LEED-CI Retail v2009	44	Certified	12/9/2014 0:00	Yes	Corporate: Publicly Traded	1161		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052815	No	Starbucks 60 Wall St	60 Wall St	New York	NY	10005	US	LEED-CI Retail v2009	46	Certified	4/3/2015 0:00	Yes	Corporate: Publicly Traded	924		Retail: Fast Food	Starbucks	12/4/2014 0:00
1000052816	No	Starbucks 1187 and 731	626 E FM 1187	Crowley	TX	76036	US	LEED-CI Retail v2009	41	Certified	4/3/2015 0:00	Yes	Corporate: Publicly Traded	1818		Retail: Fast Food	Starbucks	12/4/2014 0:00
